地区,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
北京市,0.7299270072992701,0.727802037845706,0.7369196757553428,0.7656967840735069,0.78125,0.7824726134585289,0.7656967840735069,0.7733952049497292,0.7917656373713381,0.8130081300813008
天津市,0.7163323782234957,0.7002801120448179,0.708215297450425,0.778816199376947,0.7763975155279502,0.7880220646178092,0.7739938080495357,0.7776049766718507,0.7961783439490446,0.7751937984496124
河北省,0.648508430609598,0.6578947368421053,0.6583278472679394,0.6738544474393531,0.6802721088435374,0.6882312456985547,0.7022471910112359,0.7067137809187279,0.7158196134574087,0.7209805335255949
山西省,0.6988120195667366,0.700770847932726,0.704225352112676,0.7326007326007326,0.7363770250368188,0.7407407407407407,0.7541478129713424,0.7593014426727411,0.7575757575757576,0.7662835249042146
内蒙古自治区,0.7272727272727273,0.7199424046076314,0.7241129616220131,0.7633587786259542,0.7674597083653107,0.7686395080707149,0.7564296520423601,0.7776049766718507,0.7733952049497292,0.7710100231303008
辽宁省,0.6954102920723226,0.6954102920723226,0.704225352112676,0.7342143906020558,0.7385524372230428,0.7485029940119761,0.7575757575757576,0.76103500761035,0.7651109410864576,0.7757951900698216
吉林省,0.7132667617689016,0.7147962830593281,0.7209805335255949,0.7418397626112759,0.7496251874062968,0.7535795026375284,0.7535795026375284,0.7651109410864576,0.7710100231303008,0.7763975155279502
黑龙江省,0.7293946024799417,0.7293946024799417,0.7347538574577517,0.7604562737642585,0.7621951219512195,0.7722007722007722,0.778816199376947,0.78003120124805,0.7855459544383346,0.7898894154818326
上海市,0.7037297677691766,0.7153075822603719,0.7272727272727273,0.7267441860465117,0.7369196757553428,0.7518796992481203,0.7581501137225171,0.7733952049497292,0.7782101167315175,0.8019246190858059
江苏省,0.6765899864682002,0.6798096532970769,0.6825938566552902,0.7067137809187279,0.7112375533428166,0.7194244604316546,0.7262164124909224,0.7272727272727273,0.7374631268436579,0.7412898443291327
浙江省,0.7062146892655368,0.7209805335255949,0.7256894049346879,0.7183908045977012,0.728862973760933,0.7331378299120235,0.753012048192771,0.7541478129713424,0.7581501137225171,0.7830853563038371
安徽省,0.6464124111182935,0.6618133686300464,0.6591957811470007,0.663129973474801,0.6738544474393531,0.681663258350375,0.6793478260869565,0.7097232079488999,0.7107320540156362,0.7173601147776183
福建省,0.6968641114982579,0.6939625260235948,0.6954102920723226,0.7241129616220131,0.7309941520467835,0.7374631268436579,0.7199424046076314,0.7173601147776183,0.7342143906020558,0.7485029940119761
